Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
Bearspaw Chapel,Gateway Stake,1,4,30,45,0,1,160,2023-12-13 11:30:00,2023-12-13 12:15:00,Lee Ridge Ward,45.0
Bearspaw Chapel,Gateway Stake,2,4,18,45,0,1,154,2023-12-13 11:00:00,2023-12-13 11:45:00,Blackmud Creek Ward,45.0
North Stake Centre,Edmonton North Stake,2,4,80,110,1,5,500,2023-12-13 10:35:00,2023-12-13 12:20:00,Griesbach Ward,105.0
Bearspaw Chapel,Gateway Stake,1,1,20,60,0,1,161,2023-12-13 11:30:00,2023-12-13 12:25:00,Lee Ridge Ward,55.0
Gateway Stake Centre,Gateway Stake,3,5,66,115,1,3,654,2023-12-13 10:15:00,2023-12-13 12:22:00,Silver Berry Ward,127.0
Riverbend Stake Centre,Riverbend Stake,2,0,20,60,0,1,137,2023-12-13 11:15:00,2023-12-13 12:15:00,Woodbend Ward,60.0
Bearspaw Chapel,Bonnie Doon Stake,2,4,45,90,1,2,0,2023-12-13 11:15:00,2023-12-13 00:20:00,Southgate Ward,-655.0
Londonderry Chapel,Bonnie Doon Stake,1,1,12,60,1,1,0,2023-12-13 11:30:00,2023-12-13 12:15:00,Londonderry Ward,45.0
Londonderry Chapel,Bonnie Doon Stake,1,0,55,180,0,1,225,,,Clareview Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,1,2,17,40,1,1,113,2023-12-13 11:30:00,2023-12-13 12:20:00,Crawford Plains Ward,50.0
Bearspaw Chapel,Gateway Stake,2,3,50,45,0,1,240,2023-12-13 11:45:00,2023-12-13 12:30:00,Blackmud Creek Ward,45.0
Bearspaw Chapel,Gateway Stake,1,1,23,30,0,1,0,2023-12-13 11:20:00,2023-12-13 11:50:00,Lee Ridge Ward,30.0
Gateway Stake Centre,Gateway Stake,2,3,30,62,0,1,200,2023-12-13 11:03:00,2023-12-13 12:06:00,Ellerslie Ward,63.0
Londonderry Chapel,Bonnie Doon Stake,2,0,5,15,0,1,218,2023-12-13 12:00:00,,Londonderry Ward,54.70873786407767
Bearspaw Chapel,Gateway Stake,2,1,21,35,0,1,139,2023-12-13 11:00:00,2023-12-13 11:32:00,Lee Ridge Ward,32.0
Gateway Stake Centre,Gateway Stake,2,4,50,45,0,1,236,2023-12-13 11:30:00,2023-12-13 12:30:00,Ellerslie Ward,60.0
Riverbend Stake Centre,Riverbend Stake,1,1,43,60,0,1,208,2023-12-13 11:10:00,2023-12-13 12:15:00,Rabbit Hill Ward,65.0
Gateway Stake Centre,Gateway Stake,2,3,25,40,0,1,118,2023-12-13 11:50:00,2023-12-13 12:38:00,Silver Berry Ward,48.0
Gateway Stake Centre,Gateway Stake,1,0,29,69,0,1,266,2023-12-13 11:20:00,2023-12-13 12:20:00,Silver Berry Ward,60.0
Gateway Stake Centre,Gateway Stake,2,0,40,65,0,1,239,2023-12-13 11:15:00,2023-12-13 12:20:00,Ellerslie Ward,65.0
Gateway Stake Centre,Gateway Stake,2,2,85,90,1,3,585,2023-12-13 11:00:00,2023-12-13 12:30:00,Silver Berry Ward,90.0
Bearspaw Chapel,Gateway Stake,2,1,30,40,1,2,165,2023-12-13 11:00:00,2023-12-13 12:30:00,Lee Ridge Ward,90.0
Gateway Stake Centre,Gateway Stake,1,1,18,26,0,1,201,2023-12-13 11:45:00,2023-12-13 12:10:00,Ellerslie Ward,25.0
Bearspaw Chapel,Bonnie Doon Stake,1,0,13,60,0,1,0,2023-12-13 11:21:00,2023-12-13 12:22:00,Strathcona Married Student Ward,61.0
Gateway Stake Centre,Gateway Stake,2,2,20,45,0,1,151,2023-12-13 10:30:00,2023-12-13 12:33:00,Lee Ridge Ward,123.0
North Stake Centre,Edmonton North Stake,2,0,93,120,1,1,552,2023-12-13 10:30:00,2023-12-13 12:30:00,Griesbach Ward,120.0
Gateway Stake Centre,Gateway Stake,2,3,22,40,0,1,118,2023-12-13 11:50:00,2023-12-13 12:30:00,Silver Berry Ward,40.0
Riverbend Stake Centre,Riverbend Stake,4,0,80,120,1,4,400,2023-12-13 10:30:00,2023-12-13 12:00:00,Drayton Valley Ward,90.0
Gateway Stake Centre,Gateway Stake,2,2,29,45,0,1,342,2023-12-13 11:00:00,2023-12-13 11:45:00,Silver Berry Ward,45.0
Bearspaw Chapel,Gateway Stake,2,1,35,40,1,2,172,2023-12-13 11:30:00,2023-12-13 12:30:00,Lee Ridge Ward,60.0
Bearspaw Chapel,Gateway Stake,1,0,23,60,0,1,163,2023-12-13 11:00:00,2023-12-13 12:30:00,Lee Ridge Ward,90.0
Gateway Stake Centre,Gateway Stake,2,2,17,37,0,1,186,2023-12-13 11:48:00,2023-12-13 12:25:00,Silver Berry Ward,37.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,22,30,0,1,145,2023-12-13 10:45:00,2023-12-13 11:30:00,Southgate Ward,45.0
Riverbend Stake Centre,Riverbend Stake,2,0,8,15,0,1,68,2023-12-13 12:00:00,2023-12-13 12:38:00,Rutherford Ward,38.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,11,38,0,1,158,2023-12-13 11:39:00,2023-12-13 12:22:00,Strathcona Married Student Ward,43.0
Gateway Stake Centre,Gateway Stake,6,0,20,30,0,1,300,2023-12-13 12:00:00,2023-12-13 12:30:00,Silver Berry Ward,30.0
Bearspaw Chapel,Bonnie Doon Stake,2,3,60,90,1,2,257,2023-12-13 11:00:00,2023-12-13 12:30:00,Southgate Ward,90.0
Riverbend Stake Centre,Riverbend Stake,2,1,80,60,1,2,300,2023-12-13 11:00:00,2023-12-13 12:20:00,Terwillegar Park Ward,80.0
Londonderry Chapel,Bonnie Doon Stake,2,1,42,110,1,2,191,2023-12-13 10:30:00,2023-12-13 12:22:00,Clareview Ward,112.0
Bearspaw Chapel,Gateway Stake,2,3,32,30,0,1,157,2023-12-13 11:30:00,2023-12-13 00:15:00,Lee Ridge Ward,-675.0
Riverbend Stake Centre,Riverbend Stake,2,2,54,90,0,1,350,2023-12-13 11:00:00,2023-12-13 12:40:00,Woodbend Ward,100.0
Riverbend Stake Centre,Riverbend Stake,3,1,100,110,1,2,80,,2023-12-13 10:15:00,Rabbit Hill Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,4,0,200,240,1,7,607,,,Clareview Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,3,1,25,60,0,1,25,2023-12-13 11:30:00,,Clareview Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,2,1,45,60,1,2,36,2023-12-13 11:28:00,2023-12-13 12:22:00,Rio Vista Ward,54.0
Riverbend Stake Centre,Riverbend Stake,3,1,110,120,1,3,430,2023-12-13 10:45:00,2023-12-13 12:25:00,Rabbit Hill Ward,100.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,58,75,1,3,0,2023-12-13 11:20:00,2023-12-13 12:30:00,Southgate Ward,70.0
Riverbend Stake Centre,Riverbend Stake,2,3,39,120,0,1,110,2023-12-13 10:36:00,2023-12-13 12:25:00,Greenfield Ward,109.0
Gateway Stake Centre,Gateway Stake,2,2,35,80,1,2,330,2023-12-13 11:10:00,2023-12-13 12:30:00,Lee Ridge Ward,80.0
Riverbend Stake Centre,Riverbend Stake,2,3,88,40,0,1,380,2023-12-13 10:45:00,2023-12-13 11:00:00,Woodbend Ward,15.0
Riverbend Stake Centre,Riverbend Stake,1,3,12,30,0,1,142,2023-12-13 11:45:00,2023-12-13 12:15:00,Rutherford Ward,30.0
Gateway Stake Centre,Gateway Stake,3,4,33,30,1,3,206,2023-12-13 12:06:00,2023-12-13 12:36:00,Silver Berry Ward,30.0
Bearspaw Chapel,Gateway Stake,3,0,30,120,0,1,171,2023-12-13 11:00:00,2023-12-13 11:45:00,Blackmud Creek Ward,45.0
North Stake Centre,Edmonton North Stake,3,0,60,120,1,2,380,2023-12-13 10:15:00,2023-12-13 12:35:00,Griesbach Ward,140.0
Bearspaw Chapel,Gateway Stake,4,5,14,30,0,1,0,2023-12-13 12:00:00,2023-12-13 12:30:00,Blackmud Creek Ward,30.0
Gateway Stake Centre,Gateway Stake,2,0,23,25,0,1,160,2023-12-13 12:15:00,2023-12-13 12:40:00,Lee Ridge Ward,25.0
Gateway Stake Centre,Gateway Stake,1,1,45,90,1,2,180,2023-12-13 11:00:00,2023-12-13 12:30:00,Ellerslie Ward,90.0
Riverbend Stake Centre,Riverbend Stake,2,4,80,105,1,4,74,2023-12-13 11:00:00,2023-12-13 12:45:00,Rabbit Hill Ward,105.0
Bearspaw Chapel,Bonnie Doon Stake,2,3,20,45,0,1,147,2023-12-13 12:00:00,2023-12-13 12:45:00,Southgate Ward,45.0
Riverbend Stake Centre,Riverbend Stake,2,0,100,90,1,2,500,2023-12-13 11:00:00,2023-12-13 12:35:00,Greenfield Ward,95.0
Bearspaw Chapel,Gateway Stake,3,0,8,30,0,1,60,2023-12-13 12:00:00,2023-12-13 12:30:00,Blackmud Creek Ward,30.0
Riverbend Stake Centre,Riverbend Stake,5,0,28,60,1,2,260,2023-12-13 11:15:00,2023-12-13 12:47:00,Rutherford Ward,92.0
Bearspaw Chapel,Gateway Stake,3,4,14,60,1,2,147,2023-12-13 11:20:00,2023-12-13 12:45:00,Lee Ridge Ward,85.0
Riverbend Stake Centre,Riverbend Stake,2,2,65,80,1,2,200,2023-12-13 10:30:00,2023-12-13 11:50:00,Woodbend Ward,80.0
Bearspaw Chapel,Gateway Stake,3,4,25,35,1,2,166,2023-12-13 11:20:00,2023-12-13 12:46:00,Lee Ridge Ward,86.0
Riverbend Stake Centre,Riverbend Stake,2,2,67,60,1,2,377,2023-12-13 11:00:00,2023-12-13 12:00:00,Rutherford Ward,60.0
Riverbend Stake Centre,Riverbend Stake,3,0,34,90,1,2,246,2023-12-13 11:00:00,2023-12-13 12:30:00,Rutherford Ward,90.0
Bearspaw Chapel,Gateway Stake,4,9,32,75,0,1,178,2023-12-13 11:00:00,2023-12-13 12:15:00,Blackmud Creek Ward,75.0
Gateway Stake Centre,Gateway Stake,1,1,25,25,0,1,226,2023-12-13 12:20:00,2023-12-13 12:45:00,Ellerslie Ward,25.0
Riverbend Stake Centre,Riverbend Stake,1,1,125,150,1,3,650,2023-12-13 10:00:00,2023-12-13 12:50:00,Terwillegar Park Ward,170.0
North Stake Centre,Edmonton North Stake,2,2,145,150,1,5,2500,2023-12-13 10:30:00,2023-12-13 13:00:00,Namao Ward,150.0
Riverbend Stake Centre,Riverbend Stake,2,2,40,75,0,1,215,2023-12-13 11:15:00,2023-12-13 12:20:00,Rutherford Ward,65.0
Riverbend Stake Centre,Riverbend Stake,3,3,40,60,1,2,280,2023-12-13 11:50:00,2023-12-13 12:50:00,Terwillegar Park Ward,60.0
Riverbend Stake Centre,Riverbend Stake,2,0,20,70,0,1,160,2023-12-13 11:00:00,2023-12-13 12:15:00,Woodbend Ward,75.0
Riverbend Stake Centre,Riverbend Stake,4,0,65,60,0,1,300,2023-12-13 11:00:00,2023-12-13 12:55:00,Rabbit Hill Ward,115.0
Gateway Stake Centre,Gateway Stake,2,2,52,125,1,3,324,2023-12-13 11:00:00,2023-12-13 12:45:00,Crawford Plains Ward,105.0
Bearspaw Chapel,Gateway Stake,0,2,20,120,1,2,163,2023-12-13 11:15:00,2023-12-13 12:20:00,Lee Ridge Ward,65.0
Bearspaw Chapel,Gateway Stake,0,2,20,60,1,1,168,2023-12-13 11:15:00,2023-12-13 12:20:00,Lee Ridge Ward,65.0
Gateway Stake Centre,Gateway Stake,2,2,37,140,1,3,321,2023-12-13 10:30:00,2023-12-13 12:50:00,Crawford Plains Ward,140.0
Riverbend Stake Centre,Riverbend Stake,4,0,56,120,1,2,200,2023-12-13 11:15:00,2023-12-13 12:58:00,Rabbit Hill Ward,103.0
Riverbend Stake Centre,Riverbend Stake,2,0,35,90,1,2,240,2023-12-13 10:15:00,2023-12-13 11:30:00,Rutherford Ward,75.0
North Stake Centre,Edmonton North Stake,1,3,22,40,0,1,172,2023-12-13 12:15:00,2023-12-13 12:55:00,Namao Ward,40.0
Gateway Stake Centre,Gateway Stake,2,5,39,45,1,2,466,2023-12-13 11:30:00,2023-12-13 12:15:00,Ellerslie Ward,45.0
Bearspaw Chapel,Gateway Stake,1,0,18,120,1,2,40,2023-12-13 10:30:00,2023-12-13 12:30:00,Lee Ridge Ward,120.0
Bearspaw Chapel,Gateway Stake,3,0,22,90,1,2,158,2023-12-13 10:30:00,2023-12-13 13:30:00,Lee Ridge Ward,180.0
Bearspaw Chapel,Gateway Stake,2,4,41,25,0,1,260,2023-12-13 11:15:00,2023-12-13 12:25:00,Blackmud Creek Ward,70.0
Riverbend Stake Centre,Riverbend Stake,1,0,25,80,1,2,273,2023-12-13 10:45:00,2023-12-13 12:30:00,Rabbit Hill Ward,105.0
Londonderry Chapel,Bonnie Doon Stake,2,0,1,30,0,1,100,2023-12-13 12:30:00,2023-12-13 13:04:00,Clareview Ward,34.0
Gateway Stake Centre,Gateway Stake,1,2,10,30,0,1,205,2023-12-13 12:15:00,2023-12-13 12:45:00,Ellerslie Ward,30.0
Bearspaw Chapel,Gateway Stake,2,3,42,30,0,1,95,2023-12-13 12:10:00,2023-12-13 13:03:00,Blackmud Creek Ward,53.0
Gateway Stake Centre,Gateway Stake,2,5,25,45,0,1,200,2023-12-13 12:00:00,2023-12-13 12:45:00,Ellerslie Ward,45.0
North Stake Centre,Edmonton North Stake,2,0,70,150,1,3,400,2023-12-13 10:50:00,2023-12-13 12:50:00,Griesbach Ward,120.0
North Stake Centre,Edmonton North Stake,2,0,69,150,1,3,400,2023-12-13 10:30:00,2023-12-13 12:55:00,Griesbach Ward,145.0
Bearspaw Chapel,Gateway Stake,33,4,19,20,1,2,109,2023-12-13 10:55:00,2023-12-13 11:15:00,Blackmud Creek Ward,20.0
Bearspaw Chapel,Gateway Stake,1,4,12,20,1,2,178,2023-12-13 11:30:00,2023-12-13 11:50:00,Blackmud Creek Ward,20.0
North Stake Centre,Edmonton North Stake,2,0,45,170,0,1,316,2023-12-13 10:30:00,2023-12-13 13:15:00,Namao Ward,165.0
North Stake Centre,Edmonton North Stake,1,0,17,15,0,1,140,2023-12-13 11:15:00,2023-12-13 11:30:00,Griesbach Ward,15.0
North Stake Centre,Edmonton North Stake,1,4,24,40,0,1,211,2023-12-13 12:30:00,2023-12-13 13:10:00,Namao Ward,40.0
Gateway Stake Centre,Gateway Stake,1,3,77,120,1,2,472,2023-12-13 11:00:00,2023-12-13 13:00:00,Silver Berry Ward,120.0
Gateway Stake Centre,Gateway Stake,1,1,14,45,0,1,150,2023-12-13 12:30:00,2023-12-13 13:15:00,Silver Berry Ward,45.0
Gateway Stake Centre,Gateway Stake,2,2,124,165,1,6,759,2023-12-13 10:30:00,2023-12-13 13:15:00,Crawford Plains Ward,165.0
Riverbend Stake Centre,Riverbend Stake,2,3,25,45,0,1,150,2023-12-13 11:30:00,2023-12-13 12:45:00,Woodbend Ward,75.0
Bearspaw Chapel,Gateway Stake,1,2,15,45,1,2,162,2023-12-13 11:30:00,2023-12-13 13:20:00,Lee Ridge Ward,110.0
Gateway Stake Centre,Gateway Stake,5,8,33,80,1,3,397,2023-12-13 12:00:00,2023-12-13 13:20:00,Rio Vista Ward,80.0
Gateway Stake Centre,Gateway Stake,2,1,50,135,1,2,419,2023-12-13 11:00:00,2023-12-13 13:15:00,Ellerslie Ward,135.0
Bearspaw Chapel,Gateway Stake,1,2,25,45,0,1,160,2023-12-13 11:20:00,2023-12-13 13:20:00,Lee Ridge Ward,120.0
Gateway Stake Centre,Gateway Stake,1,1,12,60,0,1,92,2023-12-13 12:00:00,2023-12-13 13:00:00,Crawford Plains Ward,60.0
Gateway Stake Centre,Gateway Stake,2,2,20,60,0,1,197,2023-12-13 12:40:00,2023-12-13 13:40:00,Ellerslie Ward,60.0
Bearspaw Chapel,Gateway Stake,2,1,14,70,0,1,147,2023-12-13 10:30:00,2023-12-13 12:00:00,Lee Ridge Ward,90.0
Bearspaw Chapel,Gateway Stake,1,4,13,35,0,1,177,2023-12-13 11:00:00,2023-12-13 11:40:00,Blackmud Creek Ward,40.0
Bearspaw Chapel,Gateway Stake,3,2,68,112,1,3,466,2023-12-13 11:15:00,2023-12-13 01:40:00,Lee Ridge Ward,-575.0
Bearspaw Chapel,Bonnie Doon Stake,5,3,555,90,1,3,200,2023-12-13 12:00:00,2023-12-13 13:30:00,Southgate Ward,90.0
Bearspaw Chapel,Bonnie Doon Stake,1,0,17,30,0,1,13,2023-12-13 11:25:00,2023-12-13 12:00:00,Southgate Ward,35.0
Bearspaw Chapel,Gateway Stake,2,0,19,45,0,1,100,2023-12-13 10:45:00,2023-12-13 14:25:00,Blackmud Creek Ward,220.0
Bearspaw Chapel,Gateway Stake,2,0,16,20,0,1,67,2023-12-13 11:30:00,2023-12-13 12:00:00,Blackmud Creek Ward,30.0
Bearspaw Chapel,Gateway Stake,2,2,32,60,0,1,174,2023-12-13 10:45:00,2023-12-13 00:00:00,Blackmud Creek Ward,-645.0
Gateway Stake Centre,Gateway Stake,38,2,29,45,1,2,339,2023-12-13 11:00:00,2023-12-13 11:45:00,Silver Berry Ward,45.0
Gateway Stake Centre,Gateway Stake,2,2,17,37,1,2,197,2023-12-13 11:48:00,2023-12-13 12:25:00,Silver Berry Ward,37.0
Bearspaw Chapel,Gateway Stake,2,0,20,60,0,1,123,2023-12-13 11:00:00,2023-12-13 12:00:00,Blackmud Creek Ward,60.0
Bearspaw Chapel,Gateway Stake,40,3,49,60,1,2,241,2023-12-13 11:00:00,2023-12-13 12:29:00,Blackmud Creek Ward,89.0
Bearspaw Chapel,Gateway Stake,2,0,21,40,0,1,109,2023-12-13 11:50:00,2023-12-13 12:30:00,Blackmud Creek Ward,40.0
Bearspaw Chapel,Gateway Stake,2,2,25,10,0,1,190,2023-12-13 11:05:00,2023-12-13 11:55:00,Blackmud Creek Ward,50.0
Bearspaw Chapel,Gateway Stake,3,4,40,35,0,1,155,2023-12-13 10:00:00,2023-12-13 13:00:00,Blackmud Creek Ward,180.0
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,5,20,20,0,1,115,2023-12-13 10:00:00,2023-12-13 12:30:00,Stony Plain Ward,150.0
Riverbend Stake Centre,Riverbend Stake,2,10,29,40,1,3,200,2023-12-13 10:20:00,2023-12-13 11:00:00,Greenfield Ward,40.0
Riverbend Stake Centre,Riverbend Stake,2,4,29,40,1,3,174,2023-12-13 11:00:00,2023-12-13 11:40:00,Terwillegar Park Ward,40.0
Riverbend Stake Centre,Riverbend Stake,2,4,39,80,1,3,262,2023-12-13 11:40:00,2023-12-13 13:00:00,Terwillegar Park Ward,80.0
Bearspaw Chapel,Gateway Stake,2,2,25,75,0,1,202,2023-12-13 11:15:00,2023-12-13 12:30:00,Blackmud Creek Ward,75.0
Bearspaw Chapel,Bonnie Doon Stake,4,5,34,55,0,1,157,2023-12-13 10:34:00,2023-12-13 11:29:00,Southgate Ward,55.0
Bearspaw Chapel,Gateway Stake,2,0,28,70,0,1,142,2023-12-13 10:35:00,2023-12-13 11:35:00,Lee Ridge Ward,60.0
Gateway Stake Centre,Gateway Stake,2,0,150,150,1,6,0,2023-12-13 10:30:00,2023-12-13 13:00:00,Crawford Plains Ward,150.0
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,0,16,30,0,1,0,2023-12-13 10:15:00,2023-12-13 10:45:00,Stony Plain Ward,30.0
Bearspaw Chapel,Bonnie Doon Stake,4,0,14,45,0,1,13,2023-12-13 12:00:00,2023-12-13 12:45:00,Southgate Ward,45.0
Bearspaw Chapel,Gateway Stake,2,0,22,60,0,1,0,2023-12-13 11:00:00,2023-12-13 12:30:00,Blackmud Creek Ward,90.0
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,29,60,1,3,240,2023-12-13 18:00:00,2023-12-13 20:00:00,Stony Plain Ward,120.0
Bearspaw Chapel,Bonnie Doon Stake,1,4,30,30,0,1,130,2023-12-13 12:30:00,2023-12-13 13:00:00,Southgate Ward,30.0
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,140,30,0,1,130,2023-12-13 10:00:00,2023-12-13 11:00:00,Stony Plain Ward,60.0
Morinville,Edmonton North Stake,2,8,0,105,1,2,525,2023-12-13 10:10:00,2023-12-13 11:50:00,Namao Ward,100.0
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,0,0,8,90,1,2,0,2023-12-13 10:00:00,2023-12-13 11:30:00,Stony Plain Ward,90.0
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,3,52,72,1,3,254,2023-12-13 10:35:00,2023-12-13 11:46:00,Pioneer Ward,71.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,9,10,0,1,40,2023-12-13 10:18:00,2023-12-13 10:54:00,Strathcona Married Student Ward,36.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,24,20,1,2,120,2023-12-13 10:20:00,2023-12-13 11:03:00,Forest Heights Ward,43.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,16,30,0,1,130,2023-12-13 10:30:00,2023-12-13 11:11:00,Forest Heights Ward,41.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,14,30,0,1,110,2023-12-13 10:25:00,2023-12-13 11:16:00,Forest Heights Ward,51.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,6,10,0,1,60,2023-12-13 10:30:00,2023-12-13 11:15:00,Forest Heights Ward,45.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,12,20,0,1,66,2023-12-13 10:50:00,2023-12-13 11:31:00,Strathcona Married Student Ward,41.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,7,25,0,1,100,2023-12-13 11:00:00,2023-12-13 11:35:00,Connors Hill Ward,35.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,28,90,0,1,65,2023-12-13 10:35:00,2023-12-13 11:40:00,Connors Hill Ward,65.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,36,45,1,1,150,2023-12-13 10:45:00,2023-12-13 11:48:00,Forest Heights Ward,63.0
